wallet,address,total_usd,wallet_tokens_usd,defi_usd,chain_count,chain_breakdown,top_holdings,top_defi,inbound_count,inbound_total_usd,external_receive_usd,history_truncated
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,11460.49,11460.49,0.0,3,"ethereum:11,460.14 | arbitrum:0.33 | monad:0.03","ETH 3.9041 ($9,300.25) [ethereum]; USDT 2,082.5614 ($2,082.31) [ethereum]; USDC 77.5758 ($77.58) [ethereum]; USDC 0.1920 ($0.19) [arbitrum]; USDT0 0.1333 ($0.13) [arbitrum]; MON 1.0000 ($0.03) [monad]; HEX 1.0000 ($0.00) [ethereum]; USDC 0.0009 ($0.00) [base]; ETH 0.0000 ($0.00) [arbitrum]; mUSD 0.0001 ($0.00) [ethereum]",,182,3232632.88,2888131.91,FALSE
Brute OTC,0x9244a6962d8f2eefdcfec223f68d83df293d9797,16879.49,16879.49,0.0,2,"ethereum:16,879.41 | arbitrum:0.08","USDT 15,410.3073 ($15,404.03) [ethereum]; ETH 0.3658 ($871.33) [ethereum]; USDC 561.9007 ($561.90) [ethereum]; PYUSD 42.1575 ($42.15) [ethereum]; USDT0 0.0826 ($0.08) [arbitrum]; USDT 0.0018 ($0.00) [base]; HEX 1.0000 ($0.00) [ethereum]; AVAX 0.0000 ($0.00) [avalanche]; SHIB 4.1175 ($0.00) [ethereum]; PEPE 5.2000 ($0.00) [ethereum]",,167,3862027.48,3722819.71,FALSE
SP4-1,0x13c5738200a7ca56c29e5744a3e93f52abd77d7b,58880.03,58880.03,0.0,1,"ethereum:58,880.03","USDT 57,703.5002 ($57,688.22) [ethereum]; USDC 1,180.0000 ($1,180.00) [ethereum]; ETH 0.0050 ($11.81) [ethereum]",,11,73946.26,73946.26,FALSE
SP4-2,0x31a5817bab67bfeeb0038df2c2e1ede79a00930a,9136.35,9136.35,0.0,2,"ethereum:9,124.43 | binance-smart-chain:11.92","USDT 8,461.7513 ($8,458.30) [ethereum]; PYUSD 651.5239 ($651.38) [ethereum]; ETH 0.0062 ($14.75) [ethereum]; WETH 0.0050 ($11.92) [binance-smart-chain]",,8,49767.17,29149.84,FALSE
SP4-3,0x691bdfb0c5a8dee9f75de8bc983bde51316eb489,1422.16,1422.16,0.0,1,"ethereum:1,422.16","USDC 1,380.0001 ($1,379.57) [ethereum]; ETH 0.0179 ($42.59) [ethereum]",,1,1500.32,1500.32,FALSE
SP4-4,0x0828c3d976b837e790715913cc85dbd6237398fb,3998.37,3998.37,0.0,1,"ethereum:3,998.37","USDT 4,000.0000 ($3,998.37) [ethereum]; ETH 0.0000 ($0.00) [ethereum]",,1,3997.22,3997.22,FALSE
SP4-5,0x79b65b17af2ec4087d0957bcfae172c3c6210312,30017.12,30017.12,0.0,1,"ethereum:30,017.12","USDC 30,014.8540 ($30,011.20) [ethereum]; ETH 0.0025 ($5.92) [ethereum]",,1,72886.77,72886.77,FALSE
SP4-6,0x82012f9fdddaaf6a8af4ef2b83b1c6ce65debcf1,35227.7,35227.7,0.0,1,"ethereum:35,227.70","USDT 20,728.6400 ($20,720.19) [ethereum]; USDC 14,511.0000 ($14,506.47) [ethereum]; ETH 0.0004 ($1.04) [ethereum]",,5,143270.46,143270.46,FALSE
SP4-7,0xc4a749d6983bfc2bb958cb32ef9ff9dc18ba81cf,11636.37,11636.37,0.0,1,"ethereum:11,636.37","USDC 11,640.0000 ($11,636.37) [ethereum]",,1,11640.71,11640.71,FALSE
SP4-8,0xc09da08738b3b0918089163e488b02a61f382404,8191.45,8191.45,0.0,1,"ethereum:8,191.45","USDT 8,183.4021 ($8,180.07) [ethereum]; ETH 0.0048 ($11.38) [ethereum]",,2,97922.69,97922.69,FALSE
