Source Wallet,Tag,Initial Funding Date >$1k,Current Funds Date,Current Funds,Total Funded to Wallet
0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,,2025-05-19,2026-09-02,11460.49,2823855.49
0x9244a6962d8f2eefdcfec223f68d83df293d9797,,2026-01-04,2026-09-02,16879.49,3687554.75
0x13c5738200a7ca56c29e5744a3e93f52abd77d7b,Client Return,2026-07-03,2026-09-02,58880.03,73946.26
0x31a5817bab67bfeeb0038df2c2e1ede79a00930a,AK receive,2026-07-03,2026-09-02,9136.35,29149.84
0x691bdfb0c5a8dee9f75de8bc983bde51316eb489,FromMain,2026-07-02,2026-09-02,1422.16,1500.32
0x0828c3d976b837e790715913cc85dbd6237398fb,SR receive,2026-07-08,2026-09-02,3998.37,3997.22
0x79b65b17af2ec4087d0957bcfae172c3c6210312,JoeyTunes,2026-07-08,2026-09-02,30017.12,72886.77
0x82012f9fdddaaf6a8af4ef2b83b1c6ce65debcf1,JoeyTunes2,2026-07-21,2026-09-02,35227.7,143270.47
0xc4a749d6983bfc2bb958cb32ef9ff9dc18ba81cf,J TripleBarrel,2026-07-23,2026-09-02,11636.37,11640.71
0xc09da08738b3b0918089163e488b02a61f382404,Calvin,2026-07-23,2026-09-02,8191.45,97922.68
