wallet,address,datetime_utc,date_utc,operation_type,external_receive,internal_transfer,chain,token,token_name,amount,price_usd,usd_value,sender,sender_label,tx_hash
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-06-11 03:07:59,2026-06-11,receive,TRUE,FALSE,ethereum,USDT,Tether USD,3257.18,0.998365,3251.85,0xba1e36ab637a9a2e3929222a5b7f081a6960e9e8,,0x9d019d36a2dce3b8881c9631ef18695eedbe1bd6825c6b9c0a46618596fbba58
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-06-01 16:07:47,2026-06-01,receive,TRUE,FALSE,ethereum,USDT,Tether USD,32760.188506,0.998682,32717.01,0x399740157391a9f1bf4e9921a8834f9bc8f2678e,,0x9282c63d1ac0bca84bf47f0089ba5a9a09ae2386f7ac8551e18980c33dac5628
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-06-01 16:07:23,2026-06-01,receive,TRUE,TRUE,ethereum,USDT,Tether USD,31187.428727,0.9982,31131.29,0x9244a6962d8f2eefdcfec223f68d83df293d9797,Brute OTC,0x3ba7f8fea5f144b7316423c291d5acdcea39430ccad92226fd4570265d0e3fa4
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-05-21 19:53:35,2026-05-21,receive,TRUE,FALSE,ethereum,USDC,USDC,428.028208,1.000152,428.09,0x1fdd2c6600312df1e1ce1f1ff4cabe504a09c352,,0xc97331eae0b6de4aa888ac456c2e2653e575fd2aec729919b89885d511486089
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-05-04 21:17:47,2026-05-04,receive,TRUE,FALSE,ethereum,USDT,Tether USD,780.0,0.999797,779.84,0xaa8ba7d4611437141192e7ceced531bc0a133efb,,0x07e11e92be8cfb6640dfd5366f6d85b465dc916f93bfe931b9900c74ee55bfc4
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-05-04 21:12:11,2026-05-04,receive,TRUE,FALSE,ethereum,USDT,Tether USD,22425.0,0.999512,22414.05,0xaa8ba7d4611437141192e7ceced531bc0a133efb,,0xe9fbe48e9091af571c0e0d567aea1e598ed9e883c2644f595ab5e3d95ba1288b
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-05-01 18:55:11,2026-05-01,receive,TRUE,FALSE,ethereum,ETH,Ethereum,12.6249,2306.42,29118.32,0x6116f484534d113d423c6b5b302d69c665a2d37b,,0x169c0ee1ea6e7f77ff6219a8a25e3d822cbef76d8095355ca7645072994e305c
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-05-01 18:24:35,2026-05-01,receive,TRUE,FALSE,ethereum,USDC,USDC,24390.25,1.000507,24402.62,0x003596b3ed9f0508a15926288306a23667aa99c6,,0x8e2a9a13ac46b671be89d15ffe63f8f61cd32166e065f6ad2cc15a5dd78a0eb8
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-04-30 02:01:59,2026-04-30,receive,TRUE,FALSE,ethereum,USDT,Tether USD,86410.0,0.999518,86368.32,0x680a9c6e781f0ca940e4632ae9bbac3d0ee3b0de,,0xbf2baaf6abda78fbf71e19152b09e7ad74d7af4678e044541d95d277c65ebf91
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-04-29 17:31:47,2026-04-29,receive,TRUE,FALSE,ethereum,USDT,Tether USD,62390.0,0.999363,62350.25,0x37268d9f8d4ff9c5c6137e97743e9cb56956aa5d,,0xe1292b932090f022c2fc7830b24803635426bf3c305db75b4bc9ff123083d9e0
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-04-26 20:07:23,2026-04-26,receive,TRUE,FALSE,ethereum,USDT,Tether USD,4875.0,1.00068,4878.32,0xfb2a32475040f944983314e703686df926d5fec0,,0xf2ae29f01c23dbeb6f029f4ddcdede03786420ed141d86a865b8e8c2a340a3ce
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-04-08 22:32:11,2026-04-08,receive,TRUE,FALSE,ethereum,USDT,Tether USD,19500.0,1.000199,19503.87,0xfb2a32475040f944983314e703686df926d5fec0,,0x12b038296e7f13277c549f0833532f5dba9f2f72e306f1d81d9ddf6b524c15de
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-03-20 09:01:35,2026-03-20,receive,TRUE,FALSE,ethereum,USDT,Tether USD,14625.0,0.999973,14624.6,0x9fd8b9b58397c94aba4a61003e463ab0e79b2087,,0xcbb5b40729266ac3e2fe46773a4b8ecfe741eee1f498cd5073945932f967194d
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-03-16 16:09:11,2026-03-16,receive,TRUE,FALSE,ethereum,USDC,USDC,7125.0,1.001381,7134.84,0x0f82a63b101bc4a09791ed84561877820414f9ea,,0x95ef6500cada7709fdc78af790592df38247494768066dbe0bedbcebc17384bb
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-02-24 17:24:11,2026-02-24,receive,TRUE,FALSE,ethereum,USDT,Tether USD,77600.0,1.000018,77601.39,0x5f4713a550f74eba2ab22670c60c27c6b96b8ebf,,0xfafb91793f0a9953de427d0aebe21b8170f12c96cd48767a93f139f64dfc8b14
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-02-23 18:35:35,2026-02-23,receive,TRUE,FALSE,ethereum,USDC,USDC,82551.0,0.999367,82498.71,0x0f82a63b101bc4a09791ed84561877820414f9ea,,0x22e07e7652012b47647cb7f41bf58dde720247adff1340e34cdff146bdfdeab8
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-02-21 04:05:59,2026-02-21,receive,TRUE,FALSE,ethereum,USDT,Tether USD,28275.0,0.999791,28269.1,0x680a9c6e781f0ca940e4632ae9bbac3d0ee3b0de,,0x96a63f86a6e23ab99f8e72be440c354c26784ca0cd61e0dca6d19482eb90f4c2
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-02-20 22:21:47,2026-02-20,receive,TRUE,FALSE,ethereum,USDT,Tether USD,14550.0,1.000413,14556.01,0x0b33330843247eb4f51e34e053d31ea5b38cdedd,,0xe54f8cf9890425c10cec6c64a7eaef9f76f6f567b3c69997ce455d653da97a8a
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-02-20 02:08:59,2026-02-20,receive,TRUE,FALSE,ethereum,USDT,Tether USD,9457.5,0.999472,9452.51,0xe36d87299fa64fba2c2dfb426d46272831d7ac8a,,0x3759ccaa4c83e0a19e6866a0999341688a8e06a1defac3f7960c3269fc4c0f6b
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-02-19 05:58:59,2026-02-19,receive,TRUE,FALSE,ethereum,USDT,Tether USD,14550.0,0.999247,14539.04,0x0b33330843247eb4f51e34e053d31ea5b38cdedd,,0xacc9881d44d8680adcdbde78c26e8ce2c82a8c2a8d56480f2cf5c2bfd1b52cc7
