wallet,address,net_funding_usd,swap_excluded_usd,swap_legs_excluded,initial_funding_date_1k
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2823855.49,408777.36,34,2025-05-19
Brute OTC,0x9244a6962d8f2eefdcfec223f68d83df293d9797,3687554.75,174472.7,18,2026-01-04
SP4-1,0x13c5738200a7ca56c29e5744a3e93f52abd77d7b,73946.26,0,0,2026-07-03
SP4-2,0x31a5817bab67bfeeb0038df2c2e1ede79a00930a,29149.84,20617.32,3,2026-07-03
SP4-3,0x691bdfb0c5a8dee9f75de8bc983bde51316eb489,1500.32,0,0,2026-07-02
SP4-4,0x0828c3d976b837e790715913cc85dbd6237398fb,3997.22,0,0,2026-07-08
SP4-5,0x79b65b17af2ec4087d0957bcfae172c3c6210312,72886.77,0,0,2026-07-08
SP4-6,0x82012f9fdddaaf6a8af4ef2b83b1c6ce65debcf1,143270.47,0,0,2026-07-21
SP4-7,0xc4a749d6983bfc2bb958cb32ef9ff9dc18ba81cf,11640.71,0,0,2026-07-23
SP4-8,0xc09da08738b3b0918089163e488b02a61f382404,97922.68,0,0,2026-07-23
