Source Wallet,Initial Funding Date >$1k,Current Funds Date,Current Funds,Total Funded to Wallet
0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,2026-08-28,2026-09-01,5530.7,45656.94
0x2acfb4445a3936e3951802245d8820d35e51d597,2026-08-31,2026-09-01,18458.29,18432.0
0x8647f91ed8b655593bb53edc4044caa1871bda21,,2026-09-01,0.0,0
0x55b2c1c111b7cfb8863c2002b77d283269182c1d,2026-08-30,2026-09-01,15780.67,16413.25
0x709f75210f81eb736f0abcad0041d5e0016dcc1e,2026-08-30,2026-09-01,8211.57,16443.74
0xfb63c32b75fff61fc8f1227c2d25a23f61900ca3,2026-08-31,2026-09-01,8013.12,8243.37
0x0c557ec72a2c99640651586ecfd04d5e55fea4d6,2026-08-31,2026-09-01,8640.4,8891.65
0x176dc7c6f438c45a51ca7566a63cddb183b5ab27,2026-08-31,2026-09-01,7840.63,7818.27
0xae145656410a94864773384ebfc1cc5f17862f0a,2026-08-31,2026-09-01,9406.36,9392.49
0x2e0b9a7ae2cf4622783ca2a3df9ea62b44a7400b,,2026-09-01,0.0,0
0xa55c56a3a656991fcfe66a73da2527a2b957a5ea,2026-09-01,2026-09-01,6980.7,6999.65
0x21749f9f2111662726acfda5699783789fb5dd22,,2026-09-01,0.0,0
0xdb5c1f4ddc0a2d815564db5f5e72ae76ad97f363,,2026-09-01,0.0,0
0x79c6cc78bc98bbfaf23ed93343638e2e5021fed9,,2026-09-01,0.0,0
0x1936d5e843d24aae8f924fec21115f5bd6d39ea4,,2026-09-01,0.0,0
