wallet,address,total_usd,wallet_tokens_usd,defi_usd,chain_count,chain_breakdown,top_holdings,top_defi
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,11976.15,11976.15,0.0,3,"ethereum:11,975.79 | arbitrum:0.33 | monad:0.03","ETH 3.9041 ($9,815.04) [ethereum]; USDT 2,082.5614 ($2,083.17) [ethereum]; USDC 77.5758 ($77.58) [ethereum]; USDC 0.1920 ($0.19) [arbitrum]; USDT0 0.1333 ($0.13) [arbitrum]; MON 1.0000 ($0.03) [monad]; HEX 1.0000 ($0.00) [ethereum]; USDC 0.0009 ($0.00) [base]; ETH 0.0000 ($0.00) [arbitrum]; mUSD 0.0001 ($0.00) [ethereum]",
Brute OTC,0x9244a6962d8f2eefdcfec223f68d83df293d9797,37595.63,37595.63,0.0,2,"ethereum:37,595.55 | arbitrum:0.08","USDT 36,053.3067 ($36,063.91) [ethereum]; ETH 0.3689 ($927.45) [ethereum]; USDC 561.9007 ($562.02) [ethereum]; PYUSD 42.1575 ($42.16) [ethereum]; USDT0 0.0826 ($0.08) [arbitrum]; USDT 0.0018 ($0.00) [base]; HEX 1.0000 ($0.00) [ethereum]; AVAX 0.0000 ($0.00) [avalanche]; SHIB 4.1175 ($0.00) [ethereum]; PEPE 5.2000 ($0.00) [ethereum]",
SP4-1,0x13c5738200a7ca56c29e5744a3e93f52abd77d7b,74151.55,74151.55,0.0,1,"ethereum:74,151.55","USDT 72,937.5000 ($72,958.96) [ethereum]; USDC 1,180.0000 ($1,180.02) [ethereum]; ETH 0.0050 ($12.57) [ethereum]",
SP4-2,0x31a5817bab67bfeeb0038df2c2e1ede79a00930a,9143.95,9143.95,0.0,2,"ethereum:9,131.39 | binance-smart-chain:12.56","USDT 8,461.7513 ($8,464.24) [ethereum]; PYUSD 651.5239 ($651.59) [ethereum]; ETH 0.0062 ($15.56) [ethereum]; WETH 0.0050 ($12.56) [binance-smart-chain]",
SP4-3,0x691bdfb0c5a8dee9f75de8bc983bde51316eb489,1424.9,1424.9,0.0,1,"ethereum:1,424.90","USDC 1,380.0001 ($1,379.96) [ethereum]; ETH 0.0179 ($44.94) [ethereum]",
SP4-4,0x0828c3d976b837e790715913cc85dbd6237398fb,4000.17,4000.17,0.0,1,"ethereum:4,000.17","USDT 4,000.0000 ($4,000.17) [ethereum]; ETH 0.0000 ($0.00) [ethereum]",
SP4-5,0x79b65b17af2ec4087d0957bcfae172c3c6210312,51455.32,51455.32,0.0,1,"ethereum:51,455.32","USDC 51,450.4738 ($51,448.79) [ethereum]; ETH 0.0026 ($6.52) [ethereum]",
SP4-6,0x82012f9fdddaaf6a8af4ef2b83b1c6ce65debcf1,43380.9,43380.9,0.0,1,"ethereum:43,380.90","USDT 28,859.9587 ($28,868.45) [ethereum]; USDC 14,511.0000 ($14,511.28) [ethereum]; ETH 0.0005 ($1.18) [ethereum]",
SP4-7,0xc4a749d6983bfc2bb958cb32ef9ff9dc18ba81cf,11639.62,11639.62,0.0,1,"ethereum:11,639.62","USDC 11,640.0000 ($11,639.62) [ethereum]",
SP4-8,0xc09da08738b3b0918089163e488b02a61f382404,58212.92,58212.92,0.0,1,"ethereum:58,212.92","USDT 58,183.4012 ($58,200.52) [ethereum]; ETH 0.0049 ($12.40) [ethereum]",
SP4-9,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,0.0,0.0,0.0,0,,,
SP4-10,0x2acfb4445a3936e3951802245d8820d35e51d597,0.0,0.0,0.0,0,,,
