Source Wallet,Tag,Initial Funding Date >$1k,Current Funds,Total Funded to Wallet
0x13c5738200a7ca56c29e5744a3e93f52abd77d7b,Client Return,2026-07-03,58915.31,73946.26
0x31a5817bab67bfeeb0038df2c2e1ede79a00930a,AK receive,2026-07-03,9143.61,49767.17
0x691bdfb0c5a8dee9f75de8bc983bde51316eb489,FromMain,2026-07-02,1424.0,1500.32
0x0828c3d976b837e790715913cc85dbd6237398fb,SR receive,2026-07-08,4001.32,3997.22
0x79b65b17af2ec4087d0957bcfae172c3c6210312,JoeyTunes,2026-07-08,30016.04,72886.77
0x82012f9fdddaaf6a8af4ef2b83b1c6ce65debcf1,JoeyTunes2,2026-07-21,43372.14,143270.46
0xc4a749d6983bfc2bb958cb32ef9ff9dc18ba81cf,J TripleBarrel,2026-07-23,11638.08,11640.71
0xc09da08738b3b0918089163e488b02a61f382404,Calvin,2026-07-23,8195.92,97922.69
0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,TripleBarrel (truncated in sheet),2026-08-28,10420.89,45656.94
0x2acfb4445a3936e3951802245d8820d35e51d597,SP4-10,2026-08-31,18456.57,18432.0
0x8647f91ed8b655593bb53edc4044caa1871bda21,SP4-11,,0.0,0
0x55b2c1c111b7cfb8863c2002b77d283269182c1d,SP4-12,2026-08-30,16214.62,16413.25
0x709f75210f81eb736f0abcad0041d5e0016dcc1e,SP4-13,2026-08-30,8216.11,16443.74
0xfb63c32b75fff61fc8f1227c2d25a23f61900ca3,Seed Phrase 4 #14,,0.0,0
0x0c557ec72a2c99640651586ecfd04d5e55fea4d6,Seed Phrase 4 #15,,0.0,0
0x176dc7c6f438c45a51ca7566a63cddb183b5ab27,Seed Phrase 4 #16,2026-08-31,7844.64,7818.27
0xae145656410a94864773384ebfc1cc5f17862f0a,Seed Phrase 4 #17,2026-08-31,9404.34,9392.49
0x2e0b9a7ae2cf4622783ca2a3df9ea62b44a7400b,Seed Phrase 4 #18,,0.0,0
0xa55c56a3a656991fcfe66a73da2527a2b957a5ea,Seed Phrase 4 #19,,0.0,0
0x21749f9f2111662726acfda5699783789fb5dd22,Seed Phrase 4 #20,,0.0,0
0xdb5c1f4ddc0a2d815564db5f5e72ae76ad97f363,Seed Phrase 4 #21,,0.0,0
0x79c6cc78bc98bbfaf23ed93343638e2e5021fed9,Seed Phrase 4 #22,,0.0,0
0x1936d5e843d24aae8f924fec21115f5bd6d39ea4,Seed Phrase 4 #23,,0.0,0
