wallet,address,datetime_utc,direction,operation_type,token,amount,usd_value,counterparty_role,counterparty,counterparty_label,chain,tx_hash,txs_scanned
Adamo OTC,0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,2026-08-19 19:34:23,OUT,send,USDT,1422.86,1422.39,to,0xba1e36ab637a9a2e3929222a5b7f081a6960e9e8,,ethereum,0xc649ef441e72f639cb67b1efca395eb3fa4c617b5b259d9074ccd6ddd679820f,1
Brute OTC,0x9244a6962d8f2eefdcfec223f68d83df293d9797,2026-08-26 02:41:23,IN,receive,USDT,23624.99,23619.46,from,0x0b33330843247eb4f51e34e053d31ea5b38cdedd,,ethereum,0xaacf6b9769e5e2152258e72033d6835118c0330f1916a4d6f979fa47164580b3,1
SP4-1,0x13c5738200a7ca56c29e5744a3e93f52abd77d7b,2026-08-14 13:06:47,IN,receive,USDC,120.0,119.88,from,0x3eb9427f906832b4f5554875573e28c1d2c36cb6,,ethereum,0xf6ae2aaaedf762132251ccb10f46853b18d867dea03b53a43ac653c89b2925a8,3
SP4-2,0x31a5817bab67bfeeb0038df2c2e1ede79a00930a,2026-08-20 17:54:23,OUT,send,PYUSD,4837.35,4842.65,to,0x2a6a845970da871c48615d1c03ab8ebe1ccf19d5,,ethereum,0xafad365210b9390bd97e8883f13bdc6e1f29413c10208a910458f433cdfd7c0c,1
SP4-3,0x691bdfb0c5a8dee9f75de8bc983bde51316eb489,2026-07-02 19:38:59,OUT,send,USDC,120.0,119.95,to,0xfb80006e05fa9859b37891429d010ef88cf5d86a,,ethereum,0x89f750c5bf7e72b7d11a51f7e03b3f2fd6295d77a0a9a604fbae02334faef5f3,2
SP4-4,0x0828c3d976b837e790715913cc85dbd6237398fb,2026-07-08 20:39:35,IN,receive,USDT,4000.0,3997.22,from,0xe161e68b13fa26df9570afb6d785df5270ecb8c4,,ethereum,0x34ca1a70a8b53e06f5b70f03f16c8a2b2ee1d69938728319fe5dd9cbaf6f0f9d,1
SP4-5,0x79b65b17af2ec4087d0957bcfae172c3c6210312,2026-08-13 11:02:59,OUT,send,USDC,21454.13,21436.13,to,0x0b33330843247eb4f51e34e053d31ea5b38cdedd,,ethereum,0xbaee2d7b6c383ec06acbce6772a489e3d89ccaa12fb6173414e6473548bd2667,1
SP4-6,0x82012f9fdddaaf6a8af4ef2b83b1c6ce65debcf1,2026-08-14 17:16:23,OUT,send,USDT,100000.0,99901.58,to,0xa1800acf2df5f702d1b7bd58f5688c4962404125,,ethereum,0x12e5710836c646f8f7c8b1457d6a2afa93472e2292338bb0267c91f0123f31ac,1
SP4-7,0xc4a749d6983bfc2bb958cb32ef9ff9dc18ba81cf,2026-07-23 16:42:47,IN,receive,USDC,11640.0,11640.71,from,0xcecf534b3b0206d650f9b4a9b865a9889806301e,,ethereum,0xbed62d6689820fed27cb58e117026da6b7f9ff1ea34140faac201e395f459332,1
SP4-8,0xc09da08738b3b0918089163e488b02a61f382404,2026-08-19 19:35:35,OUT,send,USDT,23125.12,23119.31,to,0x9244a6962d8f2eefdcfec223f68d83df293d9797,Brute OTC,ethereum,0x38ec05ffc5d21ddb36d0f9b1e360470f771f9bfd15c9d2cfe9b6a924d436103c,1
SP4-9,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,,,,,,,,,,,,
SP4-10,0x2acfb4445a3936e3951802245d8820d35e51d597,,,,,,,,,,,,
