wallet,address,total_usd,wallet_tokens_usd,defi_usd,chain_count,chain_breakdown,top_holdings,top_defi,inbound_count,inbound_total_usd,external_receive_usd,history_truncated
SP4-1,0x13c5738200a7ca56c29e5744a3e93f52abd77d7b,58915.31,58915.31,0.0,1,"ethereum:58,915.31","USDT 57,703.5002 ($57,722.57) [ethereum]; USDC 1,180.0000 ($1,180.48) [ethereum]; ETH 0.0050 ($12.26) [ethereum]",,11,73946.26,73946.26,FALSE
SP4-2,0x31a5817bab67bfeeb0038df2c2e1ede79a00930a,9143.61,9143.61,0.0,2,"ethereum:9,131.25 | binance-smart-chain:12.36","USDT 8,461.7513 ($8,464.55) [ethereum]; PYUSD 651.5239 ($651.38) [ethereum]; ETH 0.0062 ($15.31) [ethereum]; WETH 0.0050 ($12.36) [binance-smart-chain]",,8,49767.17,29149.84,FALSE
SP4-3,0x691bdfb0c5a8dee9f75de8bc983bde51316eb489,1424.0,1424.0,0.0,1,"ethereum:1,424.00","USDC 1,380.0001 ($1,379.77) [ethereum]; ETH 0.0179 ($44.23) [ethereum]",,1,1500.32,1500.32,FALSE
SP4-4,0x0828c3d976b837e790715913cc85dbd6237398fb,4001.32,4001.32,0.0,1,"ethereum:4,001.32","USDT 4,000.0000 ($4,001.32) [ethereum]; ETH 0.0000 ($0.00) [ethereum]",,1,3997.22,3997.22,FALSE
SP4-5,0x79b65b17af2ec4087d0957bcfae172c3c6210312,30016.04,30016.04,0.0,1,"ethereum:30,016.04","USDC 30,014.8538 ($30,009.89) [ethereum]; ETH 0.0025 ($6.15) [ethereum]",,1,72886.77,72886.77,FALSE
SP4-6,0x82012f9fdddaaf6a8af4ef2b83b1c6ce65debcf1,43372.14,43372.14,0.0,1,"ethereum:43,372.14","USDT 28,859.9587 ($28,862.38) [ethereum]; USDC 14,511.0000 ($14,508.60) [ethereum]; ETH 0.0005 ($1.16) [ethereum]",,5,143270.46,143270.46,FALSE
SP4-7,0xc4a749d6983bfc2bb958cb32ef9ff9dc18ba81cf,11638.08,11638.08,0.0,1,"ethereum:11,638.08","USDC 11,640.0000 ($11,638.08) [ethereum]",,1,11640.71,11640.71,FALSE
SP4-8,0xc09da08738b3b0918089163e488b02a61f382404,8195.92,8195.92,0.0,1,"ethereum:8,195.92","USDT 8,183.4016 ($8,184.09) [ethereum]; ETH 0.0048 ($11.83) [ethereum]",,2,97922.69,97922.69,FALSE
SP4-9,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,10420.89,10420.89,0.0,2,"ethereum:10,418.67 | arbitrum:2.23","PYUSD 10,411.6279 ($10,409.39) [ethereum]; ETH 0.0037 ($9.27) [ethereum]; ETH 0.0009 ($2.23) [arbitrum]",,3,45656.94,30451.31,FALSE
SP4-10,0x2acfb4445a3936e3951802245d8820d35e51d597,18456.57,18456.57,0.0,1,"ethereum:18,456.57","USDC 18,444.0000 ($18,446.92) [ethereum]; ETH 0.0039 ($9.65) [ethereum]",,2,18432.0,18432.0,FALSE
SP4-12,0x55b2c1c111b7cfb8863c2002b77d283269182c1d,16214.62,16214.62,0.0,1,"ethereum:16,214.62","ETH 6.5521 ($16,214.62) [ethereum]",,1,16413.25,16413.25,FALSE
SP4-13,0x709f75210f81eb736f0abcad0041d5e0016dcc1e,8216.11,8216.11,0.0,1,"ethereum:8,216.11","PYUSD 8,153.0070 ($8,152.28) [ethereum]; ETH 0.0258 ($63.83) [ethereum]",,2,16443.74,16443.74,FALSE
SP4-14,0xfb63c32b75fff61fc8f1227c2d25a23f61900ca3,0.0,0.0,0.0,0,,,,0,0,0,FALSE
SP4-15,0x0c557ec72a2c99640651586ecfd04d5e55fea4d6,0.0,0.0,0.0,0,,,,0,0,0,FALSE
SP4-16,0x176dc7c6f438c45a51ca7566a63cddb183b5ab27,7844.64,7844.64,0.0,1,"ethereum:7,844.64","USDT 7,823.9319 ($7,824.59) [ethereum]; ETH 0.0081 ($20.05) [ethereum]",,1,7818.27,7818.27,FALSE
SP4-17,0xae145656410a94864773384ebfc1cc5f17862f0a,9404.34,9404.34,0.0,1,"ethereum:9,404.34","USDT 9,396.5371 ($9,394.29) [ethereum]; ETH 0.0041 ($10.05) [ethereum]",,1,9392.49,9392.49,FALSE
SP4-18,0x2e0b9a7ae2cf4622783ca2a3df9ea62b44a7400b,0.0,0.0,0.0,0,,,,0,0,0,FALSE
SP4-19,0xa55c56a3a656991fcfe66a73da2527a2b957a5ea,0.0,0.0,0.0,0,,,,0,0,0,FALSE
SP4-20,0x21749f9f2111662726acfda5699783789fb5dd22,0.0,0.0,0.0,0,,,,0,0,0,FALSE
SP4-21,0xdb5c1f4ddc0a2d815564db5f5e72ae76ad97f363,0.0,0.0,0.0,0,,,,0,0,0,FALSE
SP4-22,0x79c6cc78bc98bbfaf23ed93343638e2e5021fed9,0.0,0.0,0.0,0,,,,0,0,0,FALSE
SP4-23,0x1936d5e843d24aae8f924fec21115f5bd6d39ea4,0.0,0.0,0.0,0,,,,0,0,0,FALSE
SP4-11,0x8647f91ed8b655593bb53edc4044caa1871bda21,0.0,0.0,0.0,0,,,,0,0,0,FALSE
