wallet,address,total_usd,wallet_tokens_usd,defi_usd,chain_count,chain_breakdown,top_holdings,top_defi,inbound_count,inbound_total_usd,external_receive_usd,history_truncated
SP4-9,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,5531.73,5531.73,0.0,2,"ethereum:5,529.48 | arbitrum:2.25","PYUSD 5,519.5128 ($5,520.19) [ethereum]; ETH 0.0037 ($9.28) [ethereum]; ETH 0.0009 ($2.25) [arbitrum]",,3,45656.94,30451.31,FALSE
SP4-10,0x2acfb4445a3936e3951802245d8820d35e51d597,18346.28,18346.28,0.0,1,"ethereum:18,346.28","PYUSD 18,333.9536 ($18,336.67) [ethereum]; ETH 0.0038 ($9.61) [ethereum]",,3,36857.45,18432.0,FALSE
SP4-11,0x8647f91ed8b655593bb53edc4044caa1871bda21,0.0,0.0,0.0,0,,,,0,0,0,FALSE
SP4-12,0x55b2c1c111b7cfb8863c2002b77d283269182c1d,15633.71,15633.71,0.0,1,"ethereum:15,633.71","PYUSD 15,580.2280 ($15,583.72) [ethereum]; ETH 0.0199 ($49.99) [ethereum]",,2,32159.04,32159.04,FALSE
SP4-13,0x709f75210f81eb736f0abcad0041d5e0016dcc1e,64.28,64.28,0.0,1,ethereum:64.28,ETH 0.0256 ($64.28) [ethereum],,2,16443.74,16443.74,FALSE
SP4-14,0xfb63c32b75fff61fc8f1227c2d25a23f61900ca3,7806.51,7806.51,0.0,1,"ethereum:7,806.51","ETH 2.9081 ($7,292.41) [ethereum]; PYUSD 514.0237 ($514.10) [ethereum]",,2,9239.57,8243.37,FALSE
SP4-15,0x0c557ec72a2c99640651586ecfd04d5e55fea4d6,8968.43,8968.43,0.0,1,"ethereum:8,968.43","ETH 3.5788 ($8,968.43) [ethereum]",,1,8891.65,8891.65,FALSE
SP4-16,0x176dc7c6f438c45a51ca7566a63cddb183b5ab27,7835.93,7835.93,0.0,1,"ethereum:7,835.93","PYUSD 7,809.8597 ($7,815.75) [ethereum]; ETH 0.0081 ($20.18) [ethereum]",,2,15638.01,7818.27,FALSE
SP4-17,0xae145656410a94864773384ebfc1cc5f17862f0a,6737.06,6737.06,0.0,1,"ethereum:6,737.06","PYUSD 6,726.3111 ($6,727.31) [ethereum]; ETH 0.0039 ($9.75) [ethereum]",,2,18781.36,9392.49,FALSE
SP4-18,0x2e0b9a7ae2cf4622783ca2a3df9ea62b44a7400b,0.0,0.0,0.0,0,,,,0,0,0,FALSE
SP4-19,0xa55c56a3a656991fcfe66a73da2527a2b957a5ea,6888.49,6888.49,0.0,1,"ethereum:6,888.49","PYUSD 6,838.1715 ($6,839.02) [ethereum]; ETH 0.0197 ($49.47) [ethereum]",,2,13858.99,6999.65,FALSE
SP4-20,0x21749f9f2111662726acfda5699783789fb5dd22,0.0,0.0,0.0,0,,,,0,0,0,FALSE
SP4-21,0xdb5c1f4ddc0a2d815564db5f5e72ae76ad97f363,7836.88,7836.88,0.0,1,"ethereum:7,836.88","PYUSD 7,815.3200 ($7,821.21) [ethereum]; ETH 0.0063 ($15.67) [ethereum]",,1,7822.19,7822.19,FALSE
