wallet,address,datetime_utc,date_utc,operation_type,external_receive,internal_transfer,chain,token,token_name,amount,price_usd,usd_value,sender,sender_label,tx_hash
SP4-9,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,2026-08-28 18:31:23,2026-08-28,trade,FALSE,FALSE,ethereum,PYUSD,PayPal USD,15218.834091,0.999132,15205.63,0x000000000004444c5dc75cb358380d2e3de08a90,,0x2c790690401e6d9e88cc04a0291c1ab2ab2a62503754e56f6db0c319d8112274
SP4-9,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,2026-08-28 18:19:23,2026-08-28,receive,TRUE,FALSE,ethereum,USDT,Tether USD,15221.0,1.000284,15225.32,0x6c96de32cea08842dcc4058c14d3aaad7fa41dee,,0x05862ed3e949f1429c3fda9538a08fae9b11566c32bd841fb397dede7db535cf
SP4-9,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,2026-08-28 17:04:41,2026-08-28,receive,TRUE,FALSE,arbitrum,USDT0,USDT0,15231.0,0.999671,15225.99,0x0c291d289136e73dd272c855fe1b397e54939e5d,,0xf279912444831efd7470bb8a50d4f2e5e376c837b70985584bf91a0267e5dc66
SP4-10,0x2acfb4445a3936e3951802245d8820d35e51d597,2026-09-01 23:25:23,2026-09-01,trade,FALSE,FALSE,ethereum,PYUSD,PayPal USD,18433.951562,0.999539,18425.45,0x399740157391a9f1bf4e9921a8834f9bc8f2678e,,0x4bd626fec433cf1dc25858b682c288398bfada1544bfd970c3257103c4d6c505
SP4-10,0x2acfb4445a3936e3951802245d8820d35e51d597,2026-08-31 02:51:35,2026-08-31,receive,TRUE,FALSE,ethereum,USDC,USDC,17945.0,0.999334,17933.05,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,,0xe5d1d52dec9bf35b8956966bd820d80f2291c7a523a00959b661cef92ed3b54f
SP4-10,0x2acfb4445a3936e3951802245d8820d35e51d597,2026-08-30 19:11:11,2026-08-30,receive,TRUE,FALSE,ethereum,USDC,USDC,499.0,0.999894,498.95,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,,0x1211f69272aff166a7b86f6efd4e786dec2f5eb61eafd262a2f6f0d77b7b83d7
SP4-12,0x55b2c1c111b7cfb8863c2002b77d283269182c1d,2026-09-01 23:24:23,2026-09-01,receive,TRUE,FALSE,ethereum,PYUSD,PayPal USD,15753.056288,0.999539,15745.79,0x9008d19f58aabd9ed0d60971565aa8510560ab41,,0x877d374604bac6e16daea47114a193ed1ab6288100f9ea0bc58ce72cd41c5b5f
SP4-12,0x55b2c1c111b7cfb8863c2002b77d283269182c1d,2026-08-30 19:31:59,2026-08-30,receive,TRUE,FALSE,ethereum,ETH,Ethereum,6.55010539,2505.8,16413.25,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,,0xac098890247402f3f8f8f31e91a5efa7d31ff8810063ba85531a5f77ad4913ea
SP4-13,0x709f75210f81eb736f0abcad0041d5e0016dcc1e,2026-08-30 21:32:11,2026-08-30,receive,TRUE,FALSE,ethereum,PYUSD,PayPal USD,8153.007007,0.999744,8150.92,0x9008d19f58aabd9ed0d60971565aa8510560ab41,,0x3de057d02c404ff763a5266d707c83c6d08db9e65d1ad032085815c53bf1c990
SP4-13,0x709f75210f81eb736f0abcad0041d5e0016dcc1e,2026-08-30 19:41:11,2026-08-30,receive,TRUE,FALSE,ethereum,ETH,Ethereum,3.3158141,2500.99,8292.82,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,,0xf23644df11ed3f62acba2743f2cb43ea958f4bd73ff3846a7c4a254cbf901412
SP4-14,0xfb63c32b75fff61fc8f1227c2d25a23f61900ca3,2026-09-02 10:23:35,2026-09-02,trade,FALSE,FALSE,ethereum,PYUSD,PayPal USD,996.393678,0.999809,996.2,0x0889e9327b98d7d1be3c301a4585ff3330502c9a,,0xdb53d4d7e355f878a7a0309b39f9dae984a6c6f1a6fbe0e16d8aa6e4092703ee
SP4-14,0xfb63c32b75fff61fc8f1227c2d25a23f61900ca3,2026-08-31 18:58:11,2026-08-31,receive,TRUE,FALSE,ethereum,ETH,Ethereum,3.32824773,2476.79,8243.37,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,,0xcfac3402c0eb9e0af9fd48c6d7e4f8ceb4729185f39658a50bbc93c611e0b65c
SP4-15,0x0c557ec72a2c99640651586ecfd04d5e55fea4d6,2026-08-31 19:02:11,2026-08-31,receive,TRUE,FALSE,ethereum,ETH,Ethereum,3.5887852,2477.62,8891.65,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,,0x8575a01a521d434df3bc3960e21aca8026eb4b741bfe4d0bc8f461427a8e9322
SP4-16,0x176dc7c6f438c45a51ca7566a63cddb183b5ab27,2026-09-02 23:08:11,2026-09-02,trade,FALSE,FALSE,ethereum,PYUSD,PayPal USD,7819.859744,0.999984,7819.74,0xbf7a7b6300efef494cfe81f6c06818673f7e09d0,,0xee81ac422c0043c7516ab87331b417f1925f7d9c85b648e990a08562194e8b53
SP4-16,0x176dc7c6f438c45a51ca7566a63cddb183b5ab27,2026-08-31 17:24:59,2026-08-31,receive,TRUE,FALSE,ethereum,USDT,Tether USD,7823.931898,0.999276,7818.27,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,,0xfd07b03f3d58e1c201192644464349ff83879c25a40716c60b129b025aa29951
SP4-17,0xae145656410a94864773384ebfc1cc5f17862f0a,2026-09-03 00:07:59,2026-09-03,trade,FALSE,FALSE,ethereum,PYUSD,PayPal USD,9392.67606,0.999595,9388.87,0x8f10b468b06c6fd214b65f87778827f7d113f996,,0x0aea485e8881fbcd012b303d8f2c2ccf7d71334d2c23724679e36d2e969b687d
SP4-17,0xae145656410a94864773384ebfc1cc5f17862f0a,2026-08-31 17:33:35,2026-08-31,receive,TRUE,FALSE,ethereum,USDT,Tether USD,9396.537065,0.999569,9392.49,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,,0xce2255ff741ab8c5525b9eb9f62c9a1d3e5f7b5962889471012563f01b49af79
SP4-19,0xa55c56a3a656991fcfe66a73da2527a2b957a5ea,2026-09-03 00:23:35,2026-09-03,trade,FALSE,FALSE,ethereum,PYUSD,PayPal USD,6858.171514,1.00017,6859.34,0x6a000f20005980200259b80c5102003040001068,,0x7490b35a636ae2f265d04a701526f12f5bad033c352725e37d12ef6daeb7c865
SP4-19,0xa55c56a3a656991fcfe66a73da2527a2b957a5ea,2026-09-01 19:52:11,2026-09-01,receive,TRUE,FALSE,ethereum,ETH,Ethereum,2.8983707,2415.03,6999.65,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,,0x42ff456095a0167d8e0b512ef9671b45c36fa65e0ea79256e3e7a58fefeb2766
SP4-21,0xdb5c1f4ddc0a2d815564db5f5e72ae76ad97f363,2026-09-03 04:52:47,2026-09-03,receive,TRUE,FALSE,ethereum,PYUSD,PayPal USD,7815.32,1.000879,7822.19,0x7c0f5861f7ebd94fa614383cc6ff733372fcf7eb,,0xcb608c37500975fbdcd6d2965c69509377f8b8d2f16bbcdbba1a2f55a78b5b59
SP4-22,0x79c6cc78bc98bbfaf23ed93343638e2e5021fed9,2026-09-03 17:34:35,2026-09-03,receive,TRUE,FALSE,ethereum,PYUSD,PayPal USD,8513.17,1.000466,8517.14,0x7c0f5861f7ebd94fa614383cc6ff733372fcf7eb,,0xbc6432e201818e7e7f31a2239fcba05f5858a7a370fca3ee72903ec905de87e6
