wallet,address,net_funding_usd,swap_excluded_usd,swap_legs_excluded,initial_funding_date_1k
SP4-9,0x28aa29d3cb526d4d8e9492bf42ed04aff45388f5,15225.99,30430.95,2,2026-08-28
SP4-10,0x2acfb4445a3936e3951802245d8820d35e51d597,18431.99,18425.45,1,2026-08-31
SP4-11,0x8647f91ed8b655593bb53edc4044caa1871bda21,0,0,0,
SP4-12,0x55b2c1c111b7cfb8863c2002b77d283269182c1d,16413.25,15745.79,1,2026-08-30
SP4-13,0x709f75210f81eb736f0abcad0041d5e0016dcc1e,8292.82,8150.92,1,2026-08-30
SP4-14,0xfb63c32b75fff61fc8f1227c2d25a23f61900ca3,8243.37,996.2,1,2026-08-31
SP4-15,0x0c557ec72a2c99640651586ecfd04d5e55fea4d6,8891.65,0,0,2026-08-31
SP4-16,0x176dc7c6f438c45a51ca7566a63cddb183b5ab27,7818.27,7819.74,1,2026-08-31
SP4-17,0xae145656410a94864773384ebfc1cc5f17862f0a,9392.49,9388.87,1,2026-08-31
SP4-18,0x2e0b9a7ae2cf4622783ca2a3df9ea62b44a7400b,0,0,0,
SP4-19,0xa55c56a3a656991fcfe66a73da2527a2b957a5ea,6999.65,6859.34,1,2026-09-01
SP4-20,0x21749f9f2111662726acfda5699783789fb5dd22,0,0,0,
SP4-21,0xdb5c1f4ddc0a2d815564db5f5e72ae76ad97f363,7822.19,0,0,2026-09-03
SP4-22,0x79c6cc78bc98bbfaf23ed93343638e2e5021fed9,8517.14,0,0,2026-09-03
SP4-23,0x1936d5e843d24aae8f924fec21115f5bd6d39ea4,8047.3,0,0,2026-09-04
SP4-24,0x04148a083592c640b743db06e270d7fae541c7b1,0,0,0,
SP4-25,0x599d42c74e9c825d3049b4b0d89f0e132fb430ff,0,0,0,
