Initial Funding Date >$1k,Current Funds,Total Funded to Wallet
2026-08-28,5532.32,15225.99
2026-08-31,18348.69,18431.99
,0.0,0
2026-08-30,15632.56,16413.25
2026-08-30,2874.23,8292.82
2026-08-31,7573.81,8243.37
2026-08-31,8687.64,8891.65
2026-08-31,7831.36,7818.27
2026-08-31,9354.61,9392.49
,0.0,0
2026-09-01,6888.09,6999.65
,0.0,0
2026-09-03,7832.46,7822.19
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
,0.0,0
