address,type,chain,symbol_or_name,protocol,amount,price_usd,usd_value,notes
0x9244a6962d8f2eefdcfec223f68d83df293d9797,token,ethereum,USDT,,318879,1,318571.24,
0x9244a6962d8f2eefdcfec223f68d83df293d9797,token,ethereum,USDC,,5783,1,5783.46,
0x9244a6962d8f2eefdcfec223f68d83df293d9797,token,ethereum,PYUSD,,1549,1,1547.98,
0x9244a6962d8f2eefdcfec223f68d83df293d9797,token,ethereum,ETH,,0.37,1845.9,683.01,
0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,token,ethereum,ETH,,3.9041,1845.9,7206.57,
0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,token,ethereum,USDT,,3505,1,3502.76,
0x2f58b30bd40fcb1806c2fb0b81e381a9881530bc,token,ethereum,USDC,,77.5758,1,77.56,
0x82012f9fdddaaf6a8af4ef2b83b1c6ce65debcf1,token,ethereum,USDT,,112859,1,112750.09,
0x13c5738200a7ca56c29e5744a3e93f52abd77d7b,token,ethereum,USDT,,72938,1,72882.14,
0x13c5738200a7ca56c29e5744a3e93f52abd77d7b,token,ethereum,USDC,,1010,1,1010.02,
0x79b65b17af2ec4087d0957bcfae172c3c6210312,token,ethereum,USDC,,72906,1,72886.24,
0x31a5817bab67bfeeb0038df2c2e1ede79a00930a,token,ethereum,USDT,,19401,1,19382.62,
0x4baf4e9ed5f4e252c9ba8d4af9d48c8452909e65,token,base,WETH,,3.8741,1847.48,7157.37,
0x4baf4e9ed5f4e252c9ba8d4af9d48c8452909e65,token,base,ETH,,0.0251,1845.9,46.26,
0x4baf4e9ed5f4e252c9ba8d4af9d48c8452909e65,token,base,AERO,,13.7091,0.4,5.52,
0x3c4bf99ebd50cf2c116d95fc4f9c258b2d1f03e5,token,mantle,mETH,,2.6383,2017.84,5323.76,
0x3c4bf99ebd50cf2c116d95fc4f9c258b2d1f03e5,token,monad,MON,,54150,0.02,1111.5,
0x3c4bf99ebd50cf2c116d95fc4f9c258b2d1f03e5,token,ethereum,BITCOIN,,19015,0.01,162.13,
0x3c4bf99ebd50cf2c116d95fc4f9c258b2d1f03e5,token,arbitrum,ETH,,0.0831,1845.9,153.47,
0x3c4bf99ebd50cf2c116d95fc4f9c258b2d1f03e5,token,ethereum,ETH,,0.0826,1845.9,152.52,
0x3c4bf99ebd50cf2c116d95fc4f9c258b2d1f03e5,token,ethereum,USDC,,118.4864,1,118.45,
